Latitude,Longitude,Price_INR,Locality,SuperBuiltUpArea_sqft
22.584035,88.440364,7130000,Rajarhat,1098
22.535687,88.416707,5920000,Salt Lake,863
17.444963,78.43143,20300000,Madhapur,2662
23.063364,72.593854,9230000,Thaltej,1814
12.948053,77.785061,14890000,Electronic City,1722
18.636941,73.790852,5020000,Viman Nagar,635
13.059846,77.504407,10070000,Marathahalli,1156
17.313023,78.374859,16660000,Gachibowli,1995
19.040458,72.851881,40430000,Andheri West,2651
22.512783,88.469603,9870000,Jadavpur,1182
13.125341,80.284559,12320000,T Nagar,1483
19.119149,72.929442,15650000,Vile Parle,1005
17.476043,78.556034,9380000,Madhapur,1258
19.200804,72.916385,7160000,Bandra West,493
28.587898,77.444816,15280000,Gurugram-DLF Phase 3,1885
23.016218,72.64772,12360000,Maninagar,2136
18.508847,73.83088,11850000,Aundh,1444
28.322758,76.932716,22370000,Gurugram-Sector 56,2396
17.339206,78.476558,11970000,Manikonda,1726
12.824993,77.508073,13840000,Koramangala,1721
12.964504,77.592922,19420000,Sarjapur Road,2003
17.258661,78.489007,14400000,Jubilee Hills,1580
13.180275,80.251548,25640000,OMR,2257
19.249676,72.838061,103690000,Vile Parle,5494
13.066129,77.696362,6060000,Banashankari,646
12.989746,80.342406,14700000,Velachery,1700
23.061585,72.49268,9980000,Thaltej,1938
17.386436,78.501849,15170000,Manikonda,2209
28.627461,77.400216,12770000,Faridabad-Sector 21,1482
22.604874,88.457729,9130000,Salt Lake,1036
28.723649,77.155764,15750000,Ghaziabad-Indirapuram,1665
19.269194,72.763427,42650000,Navi Mumbai-Kharghar,2590
22.644909,88.463685,24810000,Jadavpur,2047
22.938895,72.626331,2010000,Satellite,428
18.561745,73.88361,8850000,Viman Nagar,1237
17.403145,78.334208,19710000,Gachibowli,2063
12.819912,77.741094,39910000,Koramangala,3804
28.493708,77.364679,21030000,Noida-Sector 62,2588
12.99266,80.340234,13700000,Anna Nagar,1518
23.033503,72.49284,13860000,Bopal,2746
13.012188,80.227233,14180000,Porur,1590
13.049949,80.257211,19010000,Porur,1818
22.542925,88.439078,31300000,Salt Lake,3266
19.140981,72.914468,30110000,Vile Parle,1678
22.526571,88.413449,19090000,Rajarhat,2283
13.097977,77.699133,31130000,Whitefield,2763
22.550573,88.473642,22040000,Behala,2553
28.685511,77.058794,24320000,Faridabad-Sector 21,2508
18.956351,72.760121,22970000,Navi Mumbai-Kharghar,1545
18.602771,73.823187,4360000,Baner,517
12.937534,77.665775,21350000,Koramangala,1762
18.907575,72.812738,54180000,Navi Mumbai-Kharghar,2961
22.590998,88.363408,9870000,Jadavpur,1398
12.967701,80.196567,23500000,Anna Nagar,2417
18.451853,73.863592,22580000,Baner,2456
12.891275,77.532432,16330000,Banashankari,1722
19.078699,72.890753,54970000,Navi Mumbai-Kharghar,3607
28.797062,77.46075,8100000,Faridabad-Sector 21,943
19.1694,72.858889,9560000,Vile Parle,664
22.975441,72.442978,4070000,Satellite,699
22.561457,88.326819,17880000,Jadavpur,2587
23.128782,72.565624,8720000,Thaltej,1963
22.578339,88.398119,14720000,New Town,1947
13.142118,77.456,22720000,Whitefield,2370
17.543199,78.592152,7480000,Manikonda,1031
22.924421,72.469643,13100000,Satellite,2093
